rysxai_profession_id,major_code,major_name,major_level,category,subject,domain_group,market_demand_count,market_salary_reference,market_demand_signal_level,market_activity_signal_level,job_posting_sample_count,top_industries,top_regions,top_job_directions,top_job_titles,top_skills,market_evidence_summary,tier1_head_research_work_distribution,tier2_regional_feature_work_distribution,tier3_applied_vocational_work_distribution,tier_comparison_summary,inference_confidence,source_scope_note
905,450203,水利水电工程技术,专科,水利大类,水利工程与管理类,土建交通/工程建设,9077,5622,limited,very_high,5,施工员:18；监理员:15；测量员:12,上海:11；深圳:9；广州:8,电工:10；质量管理/测试工程师(QA/QC工程师):6；建筑安装施工员:4,远达航招聘水电工:1；水利水电工程技术员:1；机械电气工程师（水利水电检测）:1,预结算:1；成本控制:1；水利相关专业:1；接受无水利工程师经验:1；水利水电:1,全国需求参考 9077（limited），月薪参考 5622；行业Top：施工员:18；监理员:15；测量员:12；岗位方向Top：电工:10；质量管理/测试工程师(QA/QC工程师):6；建筑安装施工员:4；地区Top：上海:11；深圳:9；广州:8。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏规划设计院、大型央国企、工程咨询、BIM/数字建造和复杂项目管理岗位。 结合市场样本，主要对接行业：施工员:18；监理员:15；测量员:12；常见岗位方向：电工:10；质量管理/测试工程师(QA/QC工程师):6；建筑安装施工员:4；主要城市/区域：上海:11；深圳:9；广州:8。,更偏区域设计施工、项目管理、造价、监理、市政交通和工程技术岗位。 结合市场样本，主要对接行业：施工员:18；监理员:15；测量员:12；常见岗位方向：电工:10；质量管理/测试工程师(QA/QC工程师):6；建筑安装施工员:4；主要城市/区域：上海:11；深圳:9；广州:8。,更偏施工员、资料员、测量员、现场管理、物业工程和基层运维岗位。 结合市场样本，主要对接行业：施工员:18；监理员:15；测量员:12；常见岗位方向：电工:10；质量管理/测试工程师(QA/QC工程师):6；建筑安装施工员:4；主要城市/区域：上海:11；深圳:9；广州:8。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
907,450205,水利水电建筑工程,专科,水利大类,水利工程与管理类,土建交通/工程建设,1383,6910,limited,very_high,5,房地产:72.06；电力水利:9.18；批发零售:2.36,华中地区:12.4；西南地区:9.2；北京市:7.8,现场专业人员:30.2；建筑/土木工程:12.3；水利工程/设施:7.7,建筑工程资料员:4；建筑/工程会计:1,施工资料员:3；大型工程资料管理:3；资料员证:3；财务分析:2；施工前准备:2,全国需求参考 1383（limited），月薪参考 6910；行业Top：房地产:72.06；电力水利:9.18；批发零售:2.36；岗位方向Top：现场专业人员:30.2；建筑/土木工程:12.3；水利工程/设施:7.7；地区Top：华中地区:12.4；西南地区:9.2；北京市:7.8。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏规划设计院、大型央国企、工程咨询、BIM/数字建造和复杂项目管理岗位。 结合市场样本，主要对接行业：房地产:72.06；电力水利:9.18；批发零售:2.36；常见岗位方向：现场专业人员:30.2；建筑/土木工程:12.3；水利工程/设施:7.7；主要城市/区域：华中地区:12.4；西南地区:9.2；北京市:7.8。,更偏区域设计施工、项目管理、造价、监理、市政交通和工程技术岗位。 结合市场样本，主要对接行业：房地产:72.06；电力水利:9.18；批发零售:2.36；常见岗位方向：现场专业人员:30.2；建筑/土木工程:12.3；水利工程/设施:7.7；主要城市/区域：华中地区:12.4；西南地区:9.2；北京市:7.8。,更偏施工员、资料员、测量员、现场管理、物业工程和基层运维岗位。 结合市场样本，主要对接行业：房地产:72.06；电力水利:9.18；批发零售:2.36；常见岗位方向：现场专业人员:30.2；建筑/土木工程:12.3；水利工程/设施:7.7；主要城市/区域：华中地区:12.4；西南地区:9.2；北京市:7.8。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
908,450206,机电排灌工程技术,专科,水利大类,水利工程与管理类,机械制造/车辆装备,63874,5955,high,very_high,5,排灌设备运维:18；农田水利施工:15；水利机电安装:12,上海:11；深圳:11；广州:10,项目管理:5；机电工程师:4；储备干部:4,机电设计师:2；二级机电带B证:1；机电总工:1,电气:4；给排水:4；暖通:4；室内给排水:3；AutoCAD:3,全国需求参考 63874（high），月薪参考 5955；行业Top：排灌设备运维:18；农田水利施工:15；水利机电安装:12；岗位方向Top：项目管理:5；机电工程师:4；储备干部:4；地区Top：上海:11；深圳:11；广州:10。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：排灌设备运维:18；农田水利施工:15；水利机电安装:12；常见岗位方向：项目管理:5；机电工程师:4；储备干部:4；主要城市/区域：上海:11；深圳:11；广州:10。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：排灌设备运维:18；农田水利施工:15；水利机电安装:12；常见岗位方向：项目管理:5；机电工程师:4；储备干部:4；主要城市/区域：上海:11；深圳:11；广州:10。,更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：排灌设备运维:18；农田水利施工:15；水利机电安装:12；常见岗位方向：项目管理:5；机电工程师:4；储备干部:4；主要城市/区域：上海:11；深圳:11；广州:10。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
915,450401,水土保持技术,专科,水利大类,水土保持与水环境类,土建交通/工程建设,422,7729,limited,very_high,5,水保技术员:18；生态修复员:15；监测员:12,上海:12；深圳:10；广州:9,ERP实施顾问:5；工程监理:4；储备干部:3,水土保持方案编制人员:4；水利工程水土保持类咨询师:1,不需长期出差:2；水利:1；水土保持:1；水利报告编制经验:1；有水利工程师经验:1,全国需求参考 422（limited），月薪参考 7729；行业Top：水保技术员:18；生态修复员:15；监测员:12；岗位方向Top：ERP实施顾问:5；工程监理:4；储备干部:3；地区Top：上海:12；深圳:10；广州:9。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏规划设计院、大型央国企、工程咨询、BIM/数字建造和复杂项目管理岗位。 结合市场样本，主要对接行业：水保技术员:18；生态修复员:15；监测员:12；常见岗位方向：ERP实施顾问:5；工程监理:4；储备干部:3；主要城市/区域：上海:12；深圳:10；广州:9。,更偏区域设计施工、项目管理、造价、监理、市政交通和工程技术岗位。 结合市场样本，主要对接行业：水保技术员:18；生态修复员:15；监测员:12；常见岗位方向：ERP实施顾问:5；工程监理:4；储备干部:3；主要城市/区域：上海:12；深圳:10；广州:9。,更偏施工员、资料员、测量员、现场管理、物业工程和基层运维岗位。 结合市场样本，主要对接行业：水保技术员:18；生态修复员:15；监测员:12；常见岗位方向：ERP实施顾问:5；工程监理:4；储备干部:3；主要城市/区域：上海:12；深圳:10；广州:9。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
917,460101,机械设计与制造,专科,装备制造大类,机械设计制造类,机械制造/车辆装备,72586,6667,high,very_high,5,加工制造:17.46；机械重工:16.93；汽车:9.08,深圳市:11.1；广州市:10.3；华中地区:6.9,销售业务:13.5；机械设计/制造:13.2；技工/操作工:6.4,机械设计/制造:3；机械设计制造及自动化工程师:1；机械设计/制造 汽车钣金制图 Solidwork绘图:1,SolidWorks:5；AutoCAD:2；整机设计经验:2；机电设备经验:2；CAD:2,全国需求参考 72586（high），月薪参考 6667；行业Top：加工制造:17.46；机械重工:16.93；汽车:9.08；岗位方向Top：销售业务:13.5；机械设计/制造:13.2；技工/操作工:6.4；地区Top：深圳市:11.1；广州市:10.3；华中地区:6.9。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：加工制造:17.46；机械重工:16.93；汽车:9.08；常见岗位方向：销售业务:13.5；机械设计/制造:13.2；技工/操作工:6.4；主要城市/区域：深圳市:11.1；广州市:10.3；华中地区:6.9。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：加工制造:17.46；机械重工:16.93；汽车:9.08；常见岗位方向：销售业务:13.5；机械设计/制造:13.2；技工/操作工:6.4；主要城市/区域：深圳市:11.1；广州市:10.3；华中地区:6.9。,更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：加工制造:17.46；机械重工:16.93；汽车:9.08；常见岗位方向：销售业务:13.5；机械设计/制造:13.2；技工/操作工:6.4；主要城市/区域：深圳市:11.1；广州市:10.3；华中地区:6.9。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
919,460103,数控技术,专科,装备制造大类,机械设计制造类,机械制造/车辆装备,7408,5827,limited,very_high,5,加工制造:19.43；机械重工:18.29；电子技术:8.25,上海市:8.5；深圳市:7.9；华东地区:6.5,销售业务:15.2；技工/操作工:11.4；机械设计/制造:9.6,青岛鸿正模具制造招聘车工:1；元顺科技招聘CNC数控操机/编程员:1；cnc加工中心，数控车技术人员:1,不需要倒班:2；不需要夜班:2；C1驾照:2；CNC数控车:1；西门子系统发那科系统:1,全国需求参考 7408（limited），月薪参考 5827；行业Top：加工制造:19.43；机械重工:18.29；电子技术:8.25；岗位方向Top：销售业务:15.2；技工/操作工:11.4；机械设计/制造:9.6；地区Top：上海市:8.5；深圳市:7.9；华东地区:6.5。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：加工制造:19.43；机械重工:18.29；电子技术:8.25；常见岗位方向：销售业务:15.2；技工/操作工:11.4；机械设计/制造:9.6；主要城市/区域：上海市:8.5；深圳市:7.9；华东地区:6.5。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：加工制造:19.43；机械重工:18.29；电子技术:8.25；常见岗位方向：销售业务:15.2；技工/操作工:11.4；机械设计/制造:9.6；主要城市/区域：上海市:8.5；深圳市:7.9；华东地区:6.5。,更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：加工制造:19.43；机械重工:18.29；电子技术:8.25；常见岗位方向：销售业务:15.2；技工/操作工:11.4；机械设计/制造:9.6；主要城市/区域：上海市:8.5；深圳市:7.9；华东地区:6.5。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
921,460114,特种加工技术,专科,装备制造大类,机械设计制造类,机械制造/车辆装备,96385,6291,high,very_high,5,机械重工:29.87；电子技术:16.44；加工制造:9.38,华中地区:40.6；深圳市:19.3；上海市:7.7,销售业务:12.7；机械设计/制造:9.3；技术支持:8.7,钻孔，攻牙技术员 机加工:1；四川成维复合材料科技招聘CNC数控操机/编程员:1；数控车床/加工中心技术员/编程:1,要求CNC/数控经验:2；不需要夜班:2；攻牙:1；包吃住:1；月结:1,全国需求参考 96385（high），月薪参考 6291；行业Top：机械重工:29.87；电子技术:16.44；加工制造:9.38；岗位方向Top：销售业务:12.7；机械设计/制造:9.3；技术支持:8.7；地区Top：华中地区:40.6；深圳市:19.3；上海市:7.7。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：机械重工:29.87；电子技术:16.44；加工制造:9.38；常见岗位方向：销售业务:12.7；机械设计/制造:9.3；技术支持:8.7；主要城市/区域：华中地区:40.6；深圳市:19.3；上海市:7.7。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：机械重工:29.87；电子技术:16.44；加工制造:9.38；常见岗位方向：销售业务:12.7；机械设计/制造:9.3；技术支持:8.7；主要城市/区域：华中地区:40.6；深圳市:19.3；上海市:7.7。,更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：机械重工:29.87；电子技术:16.44；加工制造:9.38；常见岗位方向：销售业务:12.7；机械设计/制造:9.3；技术支持:8.7；主要城市/区域：华中地区:40.6；深圳市:19.3；上海市:7.7。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
928,460120,理化测试与质检技术,专科,装备制造大类,机械设计制造类,机械制造/车辆装备,107414,5508,high,very_high,5,理化检测员:15；质量检验员:14；无损检测员:13,深圳:13；上海:12；广州:8,普工/操作工:9；质检员/测试员(QC):7；软件测试工程师:5,合肥创美招聘质量管理/测试工程师:1；测试技术员:1；莆田市多容光学电子招聘质量管理/测试工程师:1,内审员资格证:1；环境管理体系标准:1；团队管理经验:1；家电经验:1；项目管理经验:1,全国需求参考 107414（high），月薪参考 5508；行业Top：理化检测员:15；质量检验员:14；无损检测员:13；岗位方向Top：普工/操作工:9；质检员/测试员(QC):7；软件测试工程师:5；地区Top：深圳:13；上海:12；广州:8。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：理化检测员:15；质量检验员:14；无损检测员:13；常见岗位方向：普工/操作工:9；质检员/测试员(QC):7；软件测试工程师:5；主要城市/区域：深圳:13；上海:12；广州:8。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：理化检测员:15；质量检验员:14；无损检测员:13；常见岗位方向：普工/操作工:9；质检员/测试员(QC):7；软件测试工程师:5；主要城市/区域：深圳:13；上海:12；广州:8。,更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：理化检测员:15；质量检验员:14；无损检测员:13；常见岗位方向：普工/操作工:9；质检员/测试员(QC):7；软件测试工程师:5；主要城市/区域：深圳:13；上海:12；广州:8。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
929,460113,模具设计与制造,专科,装备制造大类,机械设计制造类,机械制造/车辆装备,23107,7151,medium,very_high,5,机械重工:24.5；加工制造:15.26；电子技术:10.33,深圳市:16.3；华东地区:11；广州市:8.2,机械设计/制造:16.2；销售业务:12.9；技工/操作工:8.8,模具设计:5,有模具工程师经验:4；SolidWorks:3；UG:2；汽车制造:2；五金模具:2,全国需求参考 23107（medium），月薪参考 7151；行业Top：机械重工:24.5；加工制造:15.26；电子技术:10.33；岗位方向Top：机械设计/制造:16.2；销售业务:12.9；技工/操作工:8.8；地区Top：深圳市:16.3；华东地区:11；广州市:8.2。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：机械重工:24.5；加工制造:15.26；电子技术:10.33；常见岗位方向：机械设计/制造:16.2；销售业务:12.9；技工/操作工:8.8；主要城市/区域：深圳市:16.3；华东地区:11；广州市:8.2。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：机械重工:24.5；加工制造:15.26；电子技术:10.33；常见岗位方向：机械设计/制造:16.2；销售业务:12.9；技工/操作工:8.8；主要城市/区域：深圳市:16.3；华东地区:11；广州市:8.2。,更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：机械重工:24.5；加工制造:15.26；电子技术:10.33；常见岗位方向：机械设计/制造:16.2；销售业务:12.9；技工/操作工:8.8；主要城市/区域：深圳市:16.3；华东地区:11；广州市:8.2。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
930,460203,电机与电器技术,专科,装备制造大类,机电设备类,机械制造/车辆装备,39813,6662,medium,very_high,5,电机装配:15；电器调试:13；维修电工:12,深圳:13；上海:12；广州:7,普工/操作工:9；电气工程师/技术员:6；软件测试工程师:5,电机工艺工程师:2；电机测试工程师:1；电机结构工程师:1,SolidWorks:3；夹具/治具经验:2；AutoCAD:2；测试工作经验:1；性能测试:1,全国需求参考 39813（medium），月薪参考 6662；行业Top：电机装配:15；电器调试:13；维修电工:12；岗位方向Top：普工/操作工:9；电气工程师/技术员:6；软件测试工程师:5；地区Top：深圳:13；上海:12；广州:7。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：电机装配:15；电器调试:13；维修电工:12；常见岗位方向：普工/操作工:9；电气工程师/技术员:6；软件测试工程师:5；主要城市/区域：深圳:13；上海:12；广州:7。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：电机装配:15；电器调试:13；维修电工:12；常见岗位方向：普工/操作工:9；电气工程师/技术员:6；软件测试工程师:5；主要城市/区域：深圳:13；上海:12；广州:7。,更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：电机装配:15；电器调试:13；维修电工:12；常见岗位方向：普工/操作工:9；电气工程师/技术员:6；软件测试工程师:5；主要城市/区域：深圳:13；上海:12；广州:7。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
931,460116,电线电缆制造技术,专科,装备制造大类,机械设计制造类,机械制造/车辆装备,1368,7369,limited,very_high,5,加工制造:31.07；电力水利:21.98；电信设备:5.92,华东地区:28.4；华中地区:23；华北地区:3.4,质量管理:18.1；销售业务:15.9；生产工艺:6.9,制造生产厂长:1；产品制造工程師:1；模具制造生产主管:1,有生产管理经验:2；机械加工制造经验:1；现场工程师（ME）经验:1；不需要出差:1；自动化设备经验:1,全国需求参考 1368（limited），月薪参考 7369；行业Top：加工制造:31.07；电力水利:21.98；电信设备:5.92；岗位方向Top：质量管理:18.1；销售业务:15.9；生产工艺:6.9；地区Top：华东地区:28.4；华中地区:23；华北地区:3.4。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：加工制造:31.07；电力水利:21.98；电信设备:5.92；常见岗位方向：质量管理:18.1；销售业务:15.9；生产工艺:6.9；主要城市/区域：华东地区:28.4；华中地区:23；华北地区:3.4。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：加工制造:31.07；电力水利:21.98；电信设备:5.92；常见岗位方向：质量管理:18.1；销售业务:15.9；生产工艺:6.9；主要城市/区域：华东地区:28.4；华中地区:23；华北地区:3.4。,更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：加工制造:31.07；电力水利:21.98；电信设备:5.92；常见岗位方向：质量管理:18.1；销售业务:15.9；生产工艺:6.9；主要城市/区域：华东地区:28.4；华中地区:23；华北地区:3.4。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
933,460118,机械装备制造技术,专科,装备制造大类,机械设计制造类,机械制造/车辆装备,11991,6378,limited,very_high,5,机械装配:17；数控操作:15；设备调试:13,上海:11；深圳:11；广州:7,机械工程师:6；产品工艺/制程工程师:5；普工/操作工:4,三环科技招聘机修工:1；机械技术工程师:1；机械质检技术员:1,月结:2；有机械工程师经验:2；包住:1；AutoCAD:1；SolidWorks:1,全国需求参考 11991（limited），月薪参考 6378；行业Top：机械装配:17；数控操作:15；设备调试:13；岗位方向Top：机械工程师:6；产品工艺/制程工程师:5；普工/操作工:4；地区Top：上海:11；深圳:11；广州:7。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：机械装配:17；数控操作:15；设备调试:13；常见岗位方向：机械工程师:6；产品工艺/制程工程师:5；普工/操作工:4；主要城市/区域：上海:11；深圳:11；广州:7。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：机械装配:17；数控操作:15；设备调试:13；常见岗位方向：机械工程师:6；产品工艺/制程工程师:5；普工/操作工:4；主要城市/区域：上海:11；深圳:11；广州:7。,更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：机械装配:17；数控操作:15；设备调试:13；常见岗位方向：机械工程师:6；产品工艺/制程工程师:5；普工/操作工:4；主要城市/区域：上海:11；深圳:11；广州:7。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
934,460105,工业设计,专科,装备制造大类,机械设计制造类,机械制造/车辆装备,13515,7084,medium,very_high,5,加工制造:9.29；机械重工:8.79；房地产:7.7,深圳市:13；广州市:11.2；上海市:7.8,艺术设计:16.7；销售业务:13.6；机械设计/制造:6.4,工业设计师:5,良好的方案沟通能力:3；独立完成效果图:3；Rhino:3；设计师:2；电子产品类:2,全国需求参考 13515（medium），月薪参考 7084；行业Top：加工制造:9.29；机械重工:8.79；房地产:7.7；岗位方向Top：艺术设计:16.7；销售业务:13.6；机械设计/制造:6.4；地区Top：深圳市:13；广州市:11.2；上海市:7.8。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：加工制造:9.29；机械重工:8.79；房地产:7.7；常见岗位方向：艺术设计:16.7；销售业务:13.6；机械设计/制造:6.4；主要城市/区域：深圳市:13；广州市:11.2；上海市:7.8。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：加工制造:9.29；机械重工:8.79；房地产:7.7；常见岗位方向：艺术设计:16.7；销售业务:13.6；机械设计/制造:6.4；主要城市/区域：深圳市:13；广州市:11.2；上海市:7.8。,更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：加工制造:9.29；机械重工:8.79；房地产:7.7；常见岗位方向：艺术设计:16.7；销售业务:13.6；机械设计/制造:6.4；主要城市/区域：深圳市:13；广州市:11.2；上海市:7.8。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
935,460106,工业工程技术,专科,装备制造大类,机械设计制造类,机械制造/车辆装备,12611,6866,limited,very_high,5,生产管理员:14；IE技术员:13；质量检验员:12,深圳:12；上海:12；广州:9,市场/营销/拓展专员:7；机械工程师:5；市场/营销/拓展经理:5,工业工程师:4；工业工程工程师:1,要求有工业工程师经验:3；精益改善经验:3；机械加工制造经验:2；自动化设备经验:2；团队管理经验:2,全国需求参考 12611（limited），月薪参考 6866；行业Top：生产管理员:14；IE技术员:13；质量检验员:12；岗位方向Top：市场/营销/拓展专员:7；机械工程师:5；市场/营销/拓展经理:5；地区Top：深圳:12；上海:12；广州:9。,该专业属于专科目录，头部/强研究型高校通常不是直接供给主体；若通过专升本、高水平校企项目或技能竞赛衔接，更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：生产管理员:14；IE技术员:13；质量检验员:12；常见岗位方向：市场/营销/拓展专员:7；机械工程师:5；市场/营销/拓展经理:5；主要城市/区域：深圳:12；上海:12；广州:9。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：生产管理员:14；IE技术员:13；质量检验员:12；常见岗位方向：市场/营销/拓展专员:7；机械工程师:5；市场/营销/拓展经理:5；主要城市/区域：深圳:12；上海:12；广州:9。,更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：生产管理员:14；IE技术员:13；质量检验员:12；常见岗位方向：市场/营销/拓展专员:7；机械工程师:5；市场/营销/拓展经理:5；主要城市/区域：深圳:12；上海:12；广州:9。,专科专业的主要直接供给层级通常在普通应用/职业供给高校；区域重点层级看校企合作和地方产业，头部层级更多体现为升学衔接或高水平项目带来的岗位上移。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
